,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
0,Earnest Byner*,WAS,28,RB,16,16,297,1219,6,22,4.1,76.2,2
1,Bobby Humphrey*,DEN,24,RB,15,14,288,1202,7,37,4.2,80.1,8
2,Thurman Thomas*+,BUF,24,RB,16,16,271,1297,11,80,4.8,81.1,6
3,Marion Butts*,SDG,24,RB,14,13,265,1225,8,52,4.6,87.5,0
4,Neal Anderson *,CHI,26,RB,15,14,260,1078,10,52,4.1,71.9,2
5,Barry Sanders *+,DET,22,RB,16,16,255,1304,13,45,5.1,81.5,4
6,Christian Okoye,KAN,29,FB,14,13,245,805,7,32,3.3,57.5,6
7,Emmitt Smith *,DAL,21,RB,16,15,241,937,11,48,3.9,58.6,7
8,Johnny Johnson*,PHO,22,RB,14,14,234,926,5,41,4.0,66.1,7
9,Sammie Smith,MIA,23,RB,16,16,226,831,8,33,3.7,51.9,8
10,Ottis Anderson,NYG,33,RB,16,11,225,784,11,28,3.5,49.0,1
11,Derrick Fenner,SEA,23,RB,16,15,215,859,14,36,4.0,53.7,3
12,John Stephens,NWE,24,RB,16,14,212,808,2,26,3.8,50.5,5
13,Cleveland Gary,RAM,24,RB,15,7,204,808,14,48,4.0,53.9,12
14,Barry Word,KAN,27,RB,16,3,204,1015,4,53,5.0,63.4,4
15,Merril Hoge,PIT,25,FB,16,15,203,772,7,41,3.8,48.3,6
16,James Brooks*,CIN,32,RB,16,15,195,1004,5,56,5.1,62.8,3
17,John Williams*,SEA,26,FB,16,16,187,714,3,25,3.8,44.6,5
18,Herschel Walker,MIN,28,RB,16,16,184,770,5,58,4.2,48.1,4
19,Marcus Allen,RAI,30,RB,16,15,179,682,12,28,3.8,42.6,1
20,Lorenzo White,HOU,24,RB,16,16,168,702,8,22,4.2,43.9,7
21,Gary Anderson,TAM,29,RB,16,13,166,646,3,22,3.9,40.4,7
22,Eric Dickerson,IND,30,RB,11,8,166,677,4,43,4.1,61.5,0
25,Kevin Mack,CLE,28,FB,14,14,158,702,5,26,4.4,50.1,6
26,Reggie Cobb,TAM,22,FB,16,13,151,480,2,17,3.2,30.0,8
27,Roger Craig,SFO,30,RB,11,11,141,439,1,26,3.1,39.9,2
28,Brad Muster,CHI,25,FB,16,15,141,664,6,28,4.7,41.5,3
30,Rueben Mayes,NOR,27,RB,15,8,138,510,7,18,3.7,34.0,1
31,Albert Bentley,IND,30,FB,16,15,137,556,4,26,4.1,34.8,2
32,Anthony Toney,PHI,28,FB,15,11,132,452,1,20,3.4,30.1,3
33,Craig Heyward,NOR,24,FB,16,15,129,599,4,47,4.6,37.4,3
34,Steve Broussard,ATL,23,RB,13,10,126,454,4,50,3.6,34.9,6
36,Brad Baxter,NYJ,23,FB,16,10,124,539,6,28,4.3,33.7,4
39,Blair Thomas,NYJ,23,RB,15,11,123,620,1,41,5.0,41.3,3
40,Randall Cunningham*,PHI,27,QB,16,16,118,942,5,52,8.0,58.9,9
43,Tim Worley,PIT,24,RB,11,8,109,418,0,38,3.8,38.0,6
45,Tom Rathman,SFO,28,FB,16,16,101,318,7,22,3.1,19.9,2
47,Michael Haddix,GNB,29,FB,16,12,98,311,0,13,3.2,19.4,3
51,Timm Rosenbach,PHO,24,QB,16,16,86,470,3,25,5.5,29.4,10
53,Harold Green,CIN,22,FB,12,9,83,353,1,39,4.3,29.4,2
54,Steve Smith,RAI,26,FB,16,15,81,327,2,17,4.0,20.4,3
55,Eric Metcalf,CLE,22,RB,16,10,80,248,1,17,3.1,15.5,8
67,Alfred Anderson,MIN,29,FB,11,6,59,207,2,14,3.5,18.8,1
68,Jamie Mueller,BUF,26,FB,16,8,59,207,2,20,3.5,12.9,1
71,Warren Moon*,HOU,34,QB,15,15,55,215,2,17,3.9,14.3,18
72,Tommie Agee,DAL,26,FB,16,11,53,213,0,28,4.0,13.3,0
73,Rich Gannon,MIN,25,QB,14,12,52,268,1,27,5.2,19.1,10
74,Jim Harbaugh,CHI,27,QB,14,14,51,321,4,21,6.3,22.9,8
76,John Elway,DEN,30,QB,16,16,50,258,3,21,5.2,16.1,8
77,Boomer Esiason,CIN,29,QB,16,16,49,157,0,21,3.2,9.8,11
78,Keith Jones,ATL,24,FB,15,10,49,185,0,22,3.8,12.3,2
81,Rodney Peete,DET,24,QB,11,11,47,363,6,37,7.7,33.0,9
83,Keith Woodside,GNB,26,RB,16,13,46,182,1,21,4.0,11.4,2
85,Buford McGee,RAM,30,FB,16,15,44,234,1,19,5.3,14.6,0
87,Troy Aikman,DAL,24,QB,15,15,40,172,1,20,4.3,11.5,5
88,Joe Montana*+,SFO,34,QB,15,15,40,162,1,20,4.1,10.8,4
90,Vinny Testaverde,TAM,27,QB,14,13,38,280,1,48,7.4,20.0,10
92,Keith Byars,PHI,27,RB,16,15,37,141,0,23,3.8,8.8,4
93,Jay Schroeder,RAI,29,QB,16,16,37,81,0,17,2.2,5.1,11
95,Maurice Carthon,NYG,29,FB,16,13,36,143,0,12,4.0,8.9,1
98,Dave Krieg,SEA,32,QB,16,16,32,115,0,25,3.6,7.2,16
99,Tony Paige,MIA,28,FB,13,13,32,95,2,11,3.0,7.3,1
100,Bob Perryman,NWE,26,FB,8,7,32,97,1,13,3.0,12.1,2
103,Don Majkowski,GNB,26,QB,9,8,29,186,1,24,6.4,20.7,6
109,Chris Miller,ATL,25,QB,12,12,26,99,1,18,3.8,8.3,11
110,Bubby Brister,PIT,28,QB,16,16,25,64,0,11,2.6,4.0,9
114,Jim Kelly*,BUF,30,QB,14,14,22,63,0,15,2.9,4.5,4
117,Steve DeBerg,KAN,36,QB,16,16,21,-5,0,6,-0.2,-0.3,9
119,Ken O'Brien,NYJ,30,QB,16,16,21,72,0,15,3.4,4.5,5
120,Phil Simms,NYG,35,QB,14,14,21,61,1,20,2.9,4.4,7
121,Jim Everett*,RAM,27,QB,16,16,20,31,1,15,1.6,1.9,4
131,Dan Marino,MIA,29,QB,16,16,16,29,0,15,1.8,1.8,3
139,Mark Rypien,WAS,28,QB,10,10,15,4,0,8,0.3,0.4,2
143,Billy Joe Tolliver,SDG,24,QB,15,14,14,22,0,14,1.6,1.5,6
157,Jeff George,IND,23,QB,13,12,11,2,1,6,0.2,0.2,4
162,Bernie Kosar,CLE,27,QB,13,13,10,13,0,5,1.3,1.0,6
178,Art Monk,WAS,33,WR,16,16,7,59,0,26,8.4,3.7,0
188,Mark Jackson,DEN,27,WR,16,15,5,28,1,16,5.6,1.8,1
194,Webster Slaughter,CLE,26,WR,16,16,5,29,0,17,5.8,1.8,2
195,Marc Wilson,NWE,33,QB,16,6,5,7,0,6,1.4,0.4,6
197,Jessie Hester,IND,27,WR,16,14,4,9,0,10,2.3,0.6,0
199,Ernie Jones,PHO,26,WR,15,8,4,33,0,15,8.3,2.2,0
201,Kelvin Martin,DAL,25,WR,16,16,4,-2,0,3,-0.5,-0.1,2
203,Ricky Sanders,WAS,30,WR,16,6,4,17,0,12,4.3,1.1,0
205,Brian Blades,SEA,25,WR,16,16,3,19,0,12,6.3,1.2,0
206,Anthony Carter,MIN,30,WR,15,14,3,16,0,11,5.3,1.1,2
207,Mervyn Fernandez,RAI,31,WR,16,15,3,10,0,9,3.3,0.6,0
208,Ernest Givins*,HOU,26,WR,16,16,3,65,0,31,21.7,4.1,1
210,Anthony Miller*,SDG,25,WR,16,16,3,13,0,10,4.3,0.8,2
216,Andre Reed*,BUF,26,WR,16,16,3,23,0,26,7.7,1.4,1
223,Fred Barnett,PHI,24,WR,16,11,2,13,0,12,6.5,0.8,0
225,Henry Ellard,RAM,29,WR,15,15,2,21,0,13,10.5,1.4,4
228,Irving Fryar,NWE,28,WR,16,15,2,-4,0,-1,-2.0,-0.3,1
231,Rob Moore,NYJ,22,WR,15,13,2,-4,0,4,-2.0,-0.3,1
233,Ron Morris,CHI,26,WR,15,15,2,26,0,16,13.0,1.7,0
237,Jerry Rice *+,SFO,28,WR,16,16,2,0,0,2,0.0,0.0,1
238,Sterling Sharpe*,GNB,25,WR,16,16,2,14,0,10,7.0,0.9,0
241,Calvin Williams,PHI,23,WR,16,14,2,20,0,18,10.0,1.3,2
243,Flipper Anderson,RAM,25,WR,16,13,1,13,0,13,13.0,0.8,0
244,Stephen Baker,NYG,26,WR,16,8,1,3,0,3,3.0,0.2,0
255,Gary Clark*,WAS,28,WR,16,16,1,1,0,1,1.0,0.1,0
256,Ferrell Edmunds*,MIA,25,TE,16,16,1,-7,0,-7,-7.0,-0.4,2
262,Bruce Hill,TAM,26,WR,13,13,1,0,0,0,0.0,0.0,0
263,Mark Ingram,NYG,25,WR,16,14,1,4,0,4,4.0,0.3,1
266,Hassan Jones,MIN,26,WR,15,10,1,-7,0,-7,-7.0,-0.5,0
268,Perry Kemp,GNB,29,WR,16,16,1,-1,0,-1,-1.0,-0.1,2
269,Louis Lipps,PIT,28,WR,14,14,1,-5,0,-5,-5.0,-0.4,1
272,Travis McNeal,SEA,23,TE,16,14,1,2,0,2,2.0,0.1,0
